
 Shear/q and Bending Moment/q vs Y
  Configuration: Wing                                                        
  Mach  =    0.788
  alpha =    0.835    CLtot =    0.406
  beta  =    0.000

  Sref  =    95.55250
  Bref  =    28.08000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =   0.
     2Ymax/Bref =   1.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.201475         0.422279E-01
    0.0352  0.192060         0.387670E-01
    0.1055  0.173295         0.323408E-01
    0.1759  0.154761         0.265706E-01
    0.2462  0.136643         0.214451E-01
    0.3166  0.119089         0.169470E-01
    0.3878  0.102013         0.130119E-01
    0.4598  0.855217E-01     0.963517E-02
    0.5318  0.699101E-01     0.683645E-02
    0.6039  0.552764E-01     0.458233E-02
    0.6759  0.417260E-01     0.283570E-02
    0.7479  0.293779E-01     0.155539E-02
    0.8199  0.183804E-01     0.695453E-03
    0.8920  0.895433E-02     0.203262E-03
    0.9640  0.155611E-02     0.140097E-04
    1.0000   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =  -1.
     2Ymax/Bref =   0.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.201475        -0.422280E-01
   -0.0352  0.192060        -0.387670E-01
   -0.1055  0.173295        -0.323408E-01
   -0.1759  0.154761        -0.265706E-01
   -0.2462  0.136643        -0.214451E-01
   -0.3166  0.119089        -0.169470E-01
   -0.3878  0.102013        -0.130119E-01
   -0.4598  0.855217E-01    -0.963517E-02
   -0.5318  0.699101E-01    -0.683645E-02
   -0.6039  0.552764E-01    -0.458233E-02
   -0.6759  0.417260E-01    -0.283570E-02
   -0.7479  0.293779E-01    -0.155539E-02
   -0.8199  0.183804E-01    -0.695454E-03
   -0.8920  0.895434E-02    -0.203262E-03
   -0.9640  0.155611E-02    -0.140097E-04
   -1.0000   0.00000          0.00000    
